name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
Święta wojna,Sitcom,Poland,10,00322,25,2000-01-23,2009-05-09
MADtv,Comedy,United States,13,00321,"60, 30",1995-10-14,
Families,Soap opera,United Kingdom,,00320,30,1990-04-23,1993-08-24
Something in the Air,Soap opera,Australia,,00320,25,2000-01-17,2002-05-02
Night and Day,Soap opera,United Kingdom,01,00320,"20, 60",2001-01-012001,2003-01-012003
Train 48,Soap opera,Canada,,00318,25,2003-06-02,2005-07-01
Rederiet,Drama,Sweden,20,00318,45,1992-01-011992,2002-01-012002
Dr. Slump- Original series,Anime,Japan,,00317, ,1981-04-08,1986-02-19
Dr. Slump- Second series,Anime,Japan,,00317, ,1997-11-26,1999-09-22
Have I Got News For You,Comedy panel game,United Kingdom,36,00316,30,1990-09-28,
Kaisa Ye Pyar Hai,Drama,India,,00310,30,2005-03-29,2006-10-05
Dill Mill Gaye,Medical DramaRomance,India,,00304,24,2007-08-20,
"Maria, i Aschimi",Telenovela,Greece,02,00303,60,2007-01-01,2008-06-23
La Fea Más Bella,Telenovela,Mexico,,00302, ,2006-01-23,2007-02-25
Division 4,Soap opera,Australia,,00301, ,1969-01-011969,1975-01-011975
In aller Freundschaft,Soap opera,Germany,,00300, ,1998-01-011998,
The Price Is Right,Game show,United Kingdom,15,00300, ,1984-03-24,2007-01-12
The Red Green Show,Comedy,Canada,14,00300,30,1991-01-011991,2006-04-07
Who Wants to Be a Millionaire?- First run,Game show,Australia,09,00298,47,1999-04-18,2006-04-03
Who Wants to Be a Millionaire?- Second run,Game show,Australia,09,00298,47,2007-10-22,
Where in the World Is Carmen Sandiego?,Children's Game show,United States,05,00296,30,1991-09-30,1996-10-04
"Beverly Hills, 90210",Teen dramaSoap opera,United States,10,00296,60,1990-10-04,2000-05-17
Last of the Summer Wine,Sitcom,United Kingdom,31,00290,30,1973-11-12,2010-08-29
Dlaczego ja?,Docu-drama,Poland,04,00292,45,2010-03-15,
The George Burns and Gracie Allen Show,Sitcom,United States,08,00291,30,1950-01-011950,1957-01-011957
Dragon Ball Z,Anime,Japan,07,00291,25,1989-04-26,1996-01-31
Class of 74,Soap opera,Australia,,00290,30,1974-03-01,1975-01-011975
Hey Dad..!,Sitcom,Australia,,00289,23,1987-02-11,1994-08-17
"Tata, a Marcin powiedział",Comedy,Poland,07,00287,10,1993-01-011993,2000-01-012000
WCW Monday Nitro,Professional wrestling,United States,,00284,"60, 120, 180",1995-09-04,2001-03-26
Doce Fugitiva,Telenovela,Portugal,,00282, ,2006-10-23,2007-09-16
Let's Make a Deal,Game show,United StatesCanada,,00281,25-30,1963-12-30,2003-01-012003
El Amor No Tiene Precio,Telenovela,MexicoUnited States,01,00280,60,2005-09-26,2006-10-20
SMTV Live,Children's,United Kingdom,,00279,95 Minutes,1998-08-29,2003-12-27
Hawaii Five-O,Drama,United States,12,00278,60,1968-09-26,1980-04-26
The Donna Reed Show,Sitcom,United States,08,00275,30,1958-09-24,1966-03-19
Cheers,Sitcom,United States,11,00275,30,1982-09-30,1993-05-20
The Beverly Hillbillies,Sitcom,United States,09,00274,30,1962-09-26,1971-09-07
Perry Mason,Drama,United States,09,00271,60,1957-09-21,1966-05-22
Muñeca Brava,Telenovela,Argentina,,00270,60,1998-01-011998,1999-01-011999
Ein Fall für zwei,Crime drama,Germany,29,00266,60,1981-09-11,
Frasier,Sitcom,United States,11,00264,30,1993-09-16,2004-05-13
"Murder, She Wrote",Drama,United States,12,00264,60,1984-09-30,1996-05-19
